Membrane ID,Solvent,System Type,Oil Type,Viscosity (cP),Water Flux J (LMH),Efficiency ? (%),Nromalised Flux (NJ),Normalised Efiiciency(N%),Overall Score
M1,DMF,Immiscible,Diesel,2.9,2102,92,0.829191321,0.929292929,0.879242125
M2,DMF,Immiscible,Sunflower,51,1913,90,0.754635108,0.909090909,0.831863009
M3,DMF,Immiscible,Soybean,62,1861,90,0.734122288,0.909090909,0.821606599
M4,DMF,Immiscible,Peanut,69,1771,88,0.698619329,0.888888889,0.793754109
M5,DMF,Emulsion / Miscible,Diesel,2.9,1639,90,0.646548323,0.909090909,0.777819616
M6,DMF,Emulsion / Miscible,Sunflower,51,1520,88,0.599605523,0.888888889,0.744247206
M7,DMF,Emulsion / Miscible,Soybean,62,1440,87,0.568047337,0.878787879,0.723417608
M8,DMF,Emulsion / Miscible,Peanut,69,1365,86,0.538461538,0.868686869,0.703574204
M9,DMSO,Immiscible,Diesel,2.9,2321,98,0.915581854,0.98989899,0.952740422
M10,DMSO,Immiscible,Sunflower,51,2148,96,0.847337278,0.96969697,0.908517124
M11,DMSO,Immiscible,Soybean,62,2057,96,0.811439842,0.96969697,0.890568406
M12,DMSO,Immiscible,Peanut,69,1991,95,0.785404339,0.95959596,0.872500149
M13,DMSO,Emulsion / Miscible,Diesel,2.9,1813,95,0.715187377,0.95959596,0.837391668
M14,DMSO,Emulsion / Miscible,Sunflower,51,1675,93,0.660749507,0.939393939,0.800071723
M15,DMSO,Emulsion / Miscible,Soybean,62,1607,92,0.633925049,0.929292929,0.781608989
M16,DMSO,Emulsion / Miscible,Peanut,69,1504,91,0.593293886,0.919191919,0.756242902
M17,DMF/DMSO 7:3,Immiscible,Diesel,2.9,2437,96,0.961341223,0.96969697,0.965519096
M18,DMF/DMSO 7:3,Immiscible,Sunflower,51,2222,94,0.8765286,0.949494949,0.913011775
M19,DMF/DMSO 7:3,Immiscible,Soybean,62,2143,94,0.845364892,0.949494949,0.897429921
M20,DMF/DMSO 7:3,Immiscible,Peanut,69,2083,93,0.821696252,0.939393939,0.880545096
M21,DMF/DMSO 7:3,Emulsion / Miscible,Diesel,2.9,1915,93,0.755424063,0.939393939,0.847409001
M22,DMF/DMSO 7:3,Emulsion / Miscible,Sunflower,51,1792,91,0.706903353,0.919191919,0.813047636
M23,DMF/DMSO 7:3,Emulsion / Miscible,Soybean,62,1747,90,0.689151874,0.909090909,0.799121391
M24,DMF/DMSO 7:3,Emulsion / Miscible,Peanut,69,1601,89,0.631558185,0.898989899,0.765274042
M25,DMF/DMSO 5:5,Immiscible,Diesel,2.9,2535,99,1,1,1
M26,DMF/DMSO 5:5,Immiscible,Sunflower,51,2336,98,0.921499014,0.98989899,0.955699002
M27,DMF/DMSO 5:5,Immiscible,Soybean,62,2269,98,0.895069034,0.98989899,0.942484012
M28,DMF/DMSO 5:5,Immiscible,Peanut,69,2167,97,0.854832347,0.97979798,0.917315163
M29,DMF/DMSO 5:5,Emulsion / Miscible,Diesel,2.9,2042,98,0.805522682,0.98989899,0.897710836
M30,DMF/DMSO 5:5,Emulsion / Miscible,Sunflower,51,1879,97,0.74122288,0.97979798,0.86051043
M31,DMF/DMSO 5:5,Emulsion / Miscible,Soybean,62,1829,96.5,0.721499014,0.974747475,0.848123244
M32,DMF/DMSO 5:5,Emulsion / Miscible,Peanut,69,1728,96,0.681656805,0.96969697,0.825676887
